學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
400144,國立臺灣戲曲學院,3,6,5,0,0,4
140222,國立臺東專科學校,180,126,93,0,23,70
10301,國立華僑高級中等學校,4,10,9,0,0,16
11301,私立淡江高中,7,12,12,0,0,11
11306,私立金陵女中,1,1,1,0,0,2
11309,財團法人南山高中,1,3,1,0,0,2
11310,財團法人恆毅高中,2,1,2,0,0,1
11311,私立聖心女中,0,1,0,0,0,0
11312,私立崇義高中,7,14,12,0,0,12
11314,財團法人中華高中,10,9,3,0,0,12
11315,私立東海高中,3,8,5,0,0,5
11316,私立格致高中,0,0,2,0,0,2
11317,私立醒吾高中,13,16,13,0,0,19
11318,私立徐匯高中,0,1,0,0,0,0
11322,財團法人崇光女中,2,0,0,0,0,0
11323,私立光仁高中,1,1,0,0,0,0
11324,私立竹林高中,2,1,3,0,0,3
11325,私立及人高中,0,3,0,0,0,0
11329,財團法人辭修高中,2,0,1,0,0,0
11399,私立時雨高中,0,1,1,0,0,1
13303,市立泰山高中,17,14,14,0,0,13
13304,市立板橋高中,13,13,12,0,0,13
13335,市立新店高中,10,12,8,0,0,7
13336,市立中和高中,7,8,9,0,0,10
13337,市立新莊高中,11,12,13,0,0,12
13338,市立新北高中,13,9,9,0,0,11
13339,市立林口高中,7,15,10,0,0,7
14302,市立海山高中,6,6,6,0,0,11
14311,市立三重高中,8,7,8,0,0,4
14315,市立永平高中,2,1,4,0,0,1
14322,市立樹林高中,42,38,32,0,0,28
14326,市立明德高中,9,15,12,0,0,7
14332,市立秀峰高中,17,21,13,0,0,10
14338,市立金山高中,21,18,16,0,0,12
14343,市立安康高中,10,9,8,0,0,7
14347,市立雙溪高中,1,1,3,0,0,1
14348,市立石碇高中,3,2,1,0,0,3
14353,市立丹鳳高中,9,11,11,0,0,5
14356,市立清水高中,6,5,8,0,0,5
14357,市立三民高中,7,14,6,0,0,8
14362,市立錦和高中,6,4,6,0,0,7
14363,市立光復高中,2,6,2,0,0,2
