學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
400144,國立臺灣戲曲學院,6,6,4,0,1,3
140222,國立臺東專科學校,140,116,108,0,13,95
010301,國立華僑高級中等學校,9,13,10,0,0,3
011301,私立淡江高中,5,8,2,0,0,6
011302,私立康橋高中,0,0,0,0,0,1
011306,私立金陵女中,0,0,0,0,0,1
011309,財團法人南山高中,4,4,2,0,0,1
011310,財團法人恆毅高中,0,0,1,0,0,2
011311,私立聖心女中,0,0,1,0,0,0
011312,私立崇義高中,14,17,19,0,0,18
011314,財團法人中華高中,0,0,4,0,0,8
011315,私立東海高中,7,3,3,0,0,1
011316,私立格致高中,0,2,2,0,0,0
011317,私立醒吾高中,14,12,7,0,1,10
011318,私立徐匯高中,0,0,0,0,0,1
011322,新北市崇光高中,2,1,0,0,0,1
011323,私立光仁高中,0,2,1,0,0,1
011324,私立竹林高中,1,2,3,0,0,2
011329,財團法人辭修高中,0,0,2,0,0,2
011330,新北市林口康橋國際高中,2,0,1,0,0,0
011399,私立時雨高中,3,0,0,0,0,0
013303,市立泰山高中,17,23,18,0,2,8
013304,市立板橋高中,11,12,15,0,0,11
013335,市立新店高中,12,10,12,0,0,9
013336,市立中和高中,4,5,6,0,0,5
013337,市立新莊高中,6,9,5,0,0,7
013338,市立新北高中,12,15,4,0,0,9
013339,市立林口高中,12,14,11,0,0,5
014302,市立海山高中,7,6,4,0,0,7
014311,市立三重高中,7,8,6,0,0,6
014315,市立永平高中,2,5,2,0,0,2
014322,市立樹林高中,29,30,28,0,0,32
014326,市立明德高中,23,11,13,0,0,6
014332,市立秀峰高中,7,9,15,0,0,9
014338,市立金山高中,17,15,16,0,0,14
014343,市立安康高中,13,5,9,0,0,8
014347,市立雙溪高中,4,3,1,0,0,0
014348,市立石碇高中,0,0,0,0,0,2
014353,市立丹鳳高中,7,9,8,0,0,6
014356,市立清水高中,6,9,4,0,0,5
014357,市立三民高中,7,5,5,0,0,7
014362,市立錦和高中,7,7,9,0,0,4
014363,市立光復高中,2,3,2,0,0,2
014364,市立竹圍高中,7,9,4,0,0,2
014381,市立北大高級中學,5,2,4,0,0,4
020301,國立蘭陽女中,21,14,22,0,0,13
020302,國立宜蘭高中,18,15,15,0,0,20
020308,國立羅東高中,22,23,14,0,0,16
021301,私立慧燈高中,5,1,3,0,0,4
021310,私立中道高中,0,2,2,0,0,2
024322,縣立南澳高中,63,45,49,0,0,38
024325,縣立慈心華德福實中,3,0,1,0,0,3
030305,國立中央大學附屬中壢高中,17,16,19,0,0,6
031301,桃園市懷恩高中,0,0,0,0,0,1
031309,桃園市育達高中,77,57,49,0,0,57
031310,私立六和高中,5,2,5,0,0,2
031311,桃園市復旦高中,1,5,0,0,0,2
031312,桃園市治平高中,100,99,90,0,0,63
031313,桃園市振聲高中,33,26,25,0,0,28
031317,私立光啟高中,15,12,24,0,0,17
031318,桃園市啟英高中,124,121,138,0,0,101
031319,桃園市清華高中,16,6,4,0,0,6
031320,桃園市新興高中,60,62,53,0,0,44
031323,私立至善高中,44,33,31,0,0,22
031324,桃園市大興高中,51,48,41,0,0,27
031326,私立大華高中,3,1,1,0,0,3
033302,市立龍潭高中,27,21,17,0,3,14
033304,市立桃園高中,28,26,21,0,0,21
033306,市立武陵高中,18,19,17,0,0,15
033316,市立楊梅高中,20,12,19,0,0,5
033325,市立陽明高中,23,16,25,0,0,10
033327,市立內壢高中,19,19,23,0,0,11
034306,市立南崁高中,19,24,20,0,0,15
034312,市立大溪高中,17,26,16,0,0,22
034314,市立壽山高中,29,32,32,0,0,40
034319,市立平鎮高中,46,35,32,0,0,24
034332,市立觀音高中,10,19,7,0,0,4
034335,市立新屋高級中等學校,10,4,6,0,0,5
034347,市立永豐高中,23,19,19,0,0,17
034348,市立羅浮高中,39,0,0,0,0,0
034399,市立大園國際高中,16,16,12,0,0,8
040302,國立竹東高中,22,17,20,0,0,14
040304,國立關西高中,12,11,11,0,1,10
040308,國立竹北高中,17,15,11,0,0,11
041303,私立義民高中,3,4,12,0,0,12
041305,私立忠信高中,1,0,0,0,0,1
041306,私立東泰高中,100,72,84,0,0,58
041307,私立仰德高中,23,24,28,0,0,13
044311,縣立六家高級中學,6,5,9,0,0,4
044320,縣立湖口高中,10,4,8,0,0,6
050303,國立苗栗高中,7,6,13,0,0,10
050310,國立竹南高中,9,11,10,0,0,6
050314,國立卓蘭高中,10,9,6,0,1,6
050315,國立苑裡高中,1,1,2,0,0,4
051302,私立君毅高中,15,12,18,0,0,5
051305,私立大成高中,10,9,9,0,0,14
051306,私立建臺高中,0,5,3,0,0,3
051307,私立全人實驗高中,0,1,0,0,0,0
054308,縣立三義高中,1,1,2,0,0,2
054309,縣立苑裡高中,6,2,2,0,0,3
054317,縣立興華高中,3,3,5,0,0,6
054333,縣立大同高中,1,5,1,0,0,1
060322,國立興大附中,9,12,12,0,0,10
060323,國立中科實驗高級中學,4,4,4,0,0,3
061301,財團法人常春藤高中,0,1,0,0,0,1
061306,私立明台高中,16,13,10,0,1,10
061309,私立致用高中,8,9,4,0,0,4
061310,臺中市大明高中,8,11,6,0,0,7
061311,私立嘉陽高中,15,12,17,0,0,15
061313,私立明道高中,10,9,8,0,0,9
061314,私立僑泰高中,25,28,26,0,0,23
061315,私立華盛頓高中,2,0,1,0,0,0
061316,私立青年高中,50,51,49,0,0,44
061317,私立弘文高中,1,1,0,0,0,1
061318,私立立人高中,1,1,1,0,0,1
061319,私立玉山高中,34,34,31,0,0,35
061321,私立慈明高中,20,23,13,0,14,15
063303,市立大甲高中,6,11,6,0,0,0
063305,市立清水高中,11,11,11,0,0,3
063312,市立豐原高中,10,13,12,0,0,8
064308,市立后綜高中,4,4,6,0,1,3
064324,市立大里高中,7,7,3,0,0,5
064328,市立新社高中,10,12,9,0,2,5
064336,市立長億高中,10,5,5,0,0,6
064342,市立中港高中,5,3,4,0,0,0
064350,市立龍津高中,4,1,0,0,0,5
070301,國立彰化女中,4,2,2,0,0,7
070304,國立員林高中,6,2,6,0,0,4
070307,國立彰化高中,6,7,5,0,0,3
070316,國立鹿港高中,3,2,2,0,0,6
070319,國立溪湖高中,4,5,4,0,0,6
071311,私立精誠高中,0,1,0,0,0,0
071317,私立文興高中,0,0,2,0,0,1
071318,財團法人正德高中,0,0,1,0,0,0
074308,縣立彰化藝術高中,4,3,2,0,0,5
074313,縣立二林高中,1,0,0,0,0,1
074323,縣立和美高中,2,4,0,0,0,4
074328,縣立田中高中,1,1,0,0,0,3
074339,縣立成功高中,0,1,1,0,0,0
080302,國立南投高中,19,11,12,0,0,3
080305,國立中興高中,14,20,12,0,0,11
080307,國立竹山高中,4,5,6,0,0,6
080308,國立暨大附中,29,37,37,0,5,17
081311,私立五育高中,24,25,27,0,0,3
081312,私立三育高中,12,7,14,0,0,7
081314,私立普台高中,2,0,1,0,0,0
084309,縣立旭光高中,12,10,7,0,0,7
090305,國立斗六高中,2,4,4,0,0,2
090306,國立北港高中,3,1,0,0,0,0
